tweet_text,label
sokak döküp üst video çekme barbarlık yer millet kursak gönder kral bir et,0
sokak röportaj ev kiş az harcasın 40 lira yar kilo al al güç düşmedi devlet kabahati,0
almanya yerleşe yer bir nefes alamadık acil yar is ambulans helikopter gel türkiye öğrenci kafe çalışıyor panik atak kriz geçirip nefes alamamış su iç geçer akşa servis başlayacak demiş,0
178 boy erkek dikkat edi hepsi komik kisilik an kendi asik olmus buluyor,0
şerbet ocak unu vatandaş kız şerbe bakma unut şerbet 40 dakika bildik kömür ol şeker kimyasal satıyor şerbet yaktık ko kahverengi renk olmuş hayat defa yaşadık olay,0
kurt yedik ayaz yedik sıcak unutmamal,0
süper güç arif keser taksi bine kız centilme dedik aşık ksksksldkdldçd,0
se sak akl düş göz yaş uça kuş,0
akasya durak öğretme mehmet hoç boş vakit taksicilik yapıyor böl durak oturuyor aq boş vakit oluyo öğretme,0
ayıp edil ada nuri bap herkes his ver ada vermedi eş menapoz girmiş kız sakat bı kız koca git oğlu dese müptezel biris büt bun yetmez taksi sürer öğrenci yakala mücadele bırakmadı hoca,0
olur başke tak 500bin euro denkleştirip ödeyemiyor kamuoy paylaşma gerek duyacak zor dur kulüp kapanmas doğru seçenek,0
kişilik konuşma konuşur kendi konuşur,0
yaklaşık 6 yese kusmuş sürekli acil 40 kgydim yaş 22 doktor 399 görür yatış verir sa dedi okul sene döne ödü kop bitireme kus sürekli ağz şey tıkıyor kilo vermemek hayat,0
tak takmak var tak takmak,0
şö childhoodu dream paylaş first day in a high tech company,0
merhaba bilgisayar mühendislik sınıf öğrencis yapay zeka alan zorunlu yaz staj arıyor ope position acap,0
yıl 2015 rahmetli haydar baş hoç türkiye bölme senaryos hareke geçtik akp mhp hdp olup türkiye bölecek chp göstermelik muhalefet yapacak,0
keşke aylık tak ayrı para ols para takı ver tüm takı alabil olmaz mı,0
hep tiyatro izletiyor operasyo çocuk 35 göstermelik silah bırakma öpüşüp koklaşma kapanış silah nere ula uçaksavar nere mayın nere olan inanıp mutlu oluyor yurttaş namu kan sorgul aşağılık şerefsiz,0
oynay afer ol tüm yol arkadaş alır içer siz edi çizgi,0
do 40 yiğit maka mevki uğr bin insa yala at ekra ön cahil cühela manipül et tüm yalan yalama dek yiğit bulut bak anılıyor in yaşar ölür,0
erdemli ülkü ocak olas yangı müdahal ad orman pet şiş içeri su bırak,0
üs üs sigar içiyor üs üs sakal saç beyazlamış ne üs iş yapıyor maşallah ıslah et,0
ol gidi ima edi lan üs yarat çünkü türk basba küfür söz inandık t haber ol,0
hicbir is isci can kiymetli degil dunyayi dondure isci el,0
yer dip bat çöz süreç don şehit bağış yap siz coğrafya terörist anılacak ciğer yak ciğer şerefsiz,0
i koca dunya sey kaybet bes parasiz kal yan olur birakma ev kedi alma iz vermez kocami birakir,0
ytü öğrenci mezuniyet tören kayy rektör sırt dö protesto aile destek ver rektör protesto yapa öğrenci kendi yakışa yapar edel özgür şekl cevap ver,0
ev bes dakka faz yatip telefo baki peder se yas isimli hikaye din,0
